Prefecture,Region,Count,Count_Male,Count_Female,long,lat
Hyogo Ken,Kansai,612,311,149,134.825594695949,35.04043545383851
Tokyo To,Kanto,2416,604,264,139.56237131727366,35.077007539476476
Kanagawa Ken,Kanto,1166,477,272,139.33775283204002,35.41713845841476
Ehime Ken,Shikoku,144,56,43,132.85377784947804,33.62560801472943
Hiroshima Ken,Chugoku,260,85,63,132.7848636954522,34.60695987744404
Osaka Fu,Kansai,1103,591,269,135.5057000693868,34.62484623735543
Fukuoka Ken,Kyushu,396,155,57,130.66498178088256,33.52691416518822
Mie Ken,Kansai,160,58,47,136.37943045912272,34.51861564826679
Shiga Ken,Kansai,150,85,44,136.13489926501484,35.21889352700353
Saitama Ken,Kanto,923,423,237,139.34459373933223,35.999783770096776
Gifu Ken,Chubu,111,43,29,137.05374989294836,35.78093617937963
Chiba Ken,Kanto,766,380,196,140.20085083512535,35.51650146440936
Miyagi Ken,Tohoku,126,52,25,140.92647310878752,38.44964749558047
Aichi Ken,Chubu,556,198,117,137.2102056181334,35.0369411589542
Yamaguchi Ken,Chugoku,99,31,16,131.57160692034424,34.201328420872514
Kumamoto Ken,Kyushu,119,50,24,130.75375967579694,32.61862835119617
Tochigi Ken,Kanto,156,67,38,139.81619410723454,36.692685001585794
Akita Ken,Tohoku,74,34,19,140.40527799968592,39.75276687402771
Hokkai Do,Hokkaido,264,122,58,142.8482873828177,43.47015264196426
Kagawa Ken,Shikoku,123,46,41,133.99389788081777,34.245970577220554
Tottori Ken,Chugoku,36,13,5,133.8495055310076,35.362953808076924
Kyoto Fu,Kansai,277,131,59,135.44124934176725,35.25564109097227
Fukui Ken,Chubu,83,28,19,136.2247830446928,35.85026610863808
Okayama Ken,Chugoku,152,53,29,133.81262681713912,34.90418130356657
Nagano Ken,Chubu,120,49,29,138.04313000731838,36.136353977060296
Saga Ken,Kyushu,79,48,16,130.11390568230578,33.28837322010467
Niigata Ken,Chubu,122,46,27,138.9174919632565,37.52388358707511
Tokushima Ken,Shikoku,46,15,12,134.24010152527765,33.921376848282364
Wakayama Ken,Kansai,71,34,23,135.50944934359168,33.91314907872398
Ibaraki Ken,Kanto,219,82,35,140.31643990528627,36.31045324715864
Ishikawa Ken,Chubu,64,27,16,136.77023005852283,36.77157033556075
Shizuoka Ken,Chubu,76,18,14,138.3274063237342,35.02007403619713
Oita Ken,Kyushu,66,21,13,131.4307164650812,33.20271253002595
Nara Ken,Kansai,207,63,30,135.86833171489533,34.319108317544966
Yamagata Ken,Tohoku,68,25,25,140.0998543678039,38.450691411478196
Gunma Ken,Kanto,125,25,15,138.98236607111636,36.507570150030816
Miyazaki Ken,Kyushu,68,16,4,131.29815374058902,32.19530093856873
Shimane Ken,Chugoku,47,17,10,132.56022509875964,35.07679335719097
Toyama Ken,Chubu,65,37,17,137.26500976076392,36.639391715890426
Iwate Ken,Tohoku,75,27,18,141.3599530659118,39.5964646800229
Fukushima Ken,Tohoku,92,42,16,140.22256869649826,37.381960684780175
Kagoshima Ken,Kyushu,81,33,23,130.43129727099006,31.0299090911871
Aomori Ken,Tohoku,76,31,24,140.82869484835936,40.78369203004206
Kochi Ken,Shikoku,28,5,10,133.3656061075033,33.42441214438299
Yamanashi Ken,Chubu,91,27,16,138.60840695385372,35.61553601960952
Nagasaki Ken,Kyushu,67,23,22,129.61203901253086,33.23181134168085
